Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
4,1652870257325,18/05/2022 10:37:37,1652870257276,1,18/05/2022 11:37:37,86605,11,task-s61q,,21963058,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,3,Screen 4,advancementZone,response_button_text,23098,,,Take a screenshot,1,0,1,0,,,,,,Instructions,
5,1652870263640,18/05/2022 10:37:43,1652870263588,1,18/05/2022 11:37:43,86605,11,task-s61q,,21963058,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,4,Screen 5,advancementZone,continue_button,6304,,,,,0,1,0,,,,,,Instructions,
6,1652870263708,18/05/2022 10:37:43,1652870263590,1,18/05/2022 11:37:43,86605,11,task-s61q,,21963058,5o36rzfx,6484613,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,END TASK,,,,,92440,,,,,0,1,0,,,,,,,
1,1652888227179,18/05/2022 15:37:07,1652888227081,1,18/05/2022 16:37:07,86605,11,task-s61q,,21970170,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1652888236065,18/05/2022 15:37:16,1652888236014,1,18/05/2022 16:37:16,86605,11,task-s61q,,21970170,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 2,advancementZone,continue_button,8898,,,,,0,1,0,,,,,,Instructions,
3,1652888250514,18/05/2022 15:37:30,1652888250472,1,18/05/2022 16:37:30,86605,11,task-s61q,,21970170,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,2,Screen 3,advancementZone,continue_button,14451.000000000004,,,,,0,1,0,,,,,,Instructions,
4,1652888262788,18/05/2022 15:37:42,1652888262725,1,18/05/2022 16:37:42,86605,11,task-s61q,,21970170,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,3,Screen 4,advancementZone,response_button_text,12243,,,Take a screenshot,1,0,1,0,,,,,,Instructions,
5,1652888355297,18/05/2022 15:39:15,1652888355208,1,18/05/2022 16:39:15,86605,11,task-s61q,,21970170,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,Spreadsheet1,1,1,4,Screen 5,advancementZone,continue_button,92475.99999999999,,,,,0,1,0,,,,,,Instructions,
6,1652888355348,18/05/2022 15:39:15,1652888355211,1,18/05/2022 16:39:15,86605,11,task-s61q,,21970170,bdxxxsvf,6486562,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1680x1050,1680x998,,An art exhibition game,4,Spreadsheet1,,,END TASK,,,,,128130,,,,,0,1,0,,,,,,,
END OF FILE
