"","Participant_Public_ID","Task_Name","Response","Question_Key","response"
"292","9fuapkwo","Affiliation questions - 2","50","Affilitation_Gratitude2",50
"293","9fuapkwo","Affiliation questions - 2","50","Affilitation_Acceptance2",50
"294","9fuapkwo","Affiliation questions - 2","50","Affilitation_Sympathy2",50
"295","x9hun3az","Affiliation questions - 2","66","Affilitation_Hostility2",66
"296","x9hun3az","Affiliation questions - 2","40","Affilitation_Distrust2",40
"297","x9hun3az","Affiliation questions - 2","35","Affilitation_Generosity2",35
"298","x9hun3az","Affiliation questions - 2","56","Affilitation_Avoidance2",56
"299","x9hun3az","Affiliation questions - 2","46","Affilitation_Gratitude2",46
"300","x9hun3az","Affiliation questions - 2","37","Affilitation_Acceptance2",37
"301","x9hun3az","Affiliation questions - 2","35","Affilitation_Sympathy2",35
"302","fhonwjzj","Affiliation questions - 2","60","Affilitation_Hostility2",60
"303","fhonwjzj","Affiliation questions - 2","60","Affilitation_Distrust2",60
"304","fhonwjzj","Affiliation questions - 2","60","Affilitation_Acceptance2",60
"305","fhonwjzj","Affiliation questions - 2","45","Affilitation_Sympathy2",45
"306","fhonwjzj","Affiliation questions - 2","60","Affilitation_Avoidance2",60
"307","fhonwjzj","Affiliation questions - 2","40","Affilitation_Generosity2",40
"308","fhonwjzj","Affiliation questions - 2","40","Affilitation_Gratitude2",40
"309","5zqcqbja","Affiliation questions - 3","50","Affilitation_Distrust3",50
"310","5zqcqbja","Affiliation questions - 3","50","Affilitation_Acceptance3",50
"311","5zqcqbja","Affiliation questions - 3","50","Affilitation_Generosity3",50
"312","5zqcqbja","Affiliation questions - 3","50","Affilitation_Hostility3",50
"313","5zqcqbja","Affiliation questions - 3","50","Affilitation_Avoidance3",50
"314","5zqcqbja","Affiliation questions - 3","50","Affilitation_Sympathy3",50
"315","5zqcqbja","Affiliation questions - 3","50","Affilitation_Gratitude3",50
"316","rjld64yp","Affiliation questions - 3","56","Affilitation_Generosity3",56
"317","rjld64yp","Affiliation questions - 3","59","Affilitation_Gratitude3",59
"318","rjld64yp","Affiliation questions - 3","31","Affilitation_Distrust3",31
"319","rjld64yp","Affiliation questions - 3","26","Affilitation_Avoidance3",26
"320","rjld64yp","Affiliation questions - 3","50","Affilitation_Acceptance3",50
"321","rjld64yp","Affiliation questions - 3","60","Affilitation_Sympathy3",60
"322","rjld64yp","Affiliation questions - 3","38","Affilitation_Hostility3",38
"323","3qnbpkqy","Affiliation questions - 3","35","Affilitation_Distrust3",35
"324","3qnbpkqy","Affiliation questions - 3","55","Affilitation_Gratitude3",55
"325","3qnbpkqy","Affiliation questions - 3","40","Affilitation_Hostility3",40
"326","3qnbpkqy","Affiliation questions - 3","55","Affilitation_Acceptance3",55
"327","3qnbpkqy","Affiliation questions - 3","45","Affilitation_Sympathy3",45
"328","3qnbpkqy","Affiliation questions - 3","65","Affilitation_Avoidance3",65
"329","3qnbpkqy","Affiliation questions - 3","55","Affilitation_Generosity3",55
"330","fnw3740u","Affiliation questions - 3","0","Affilitation_Avoidance3",0
"331","fnw3740u","Affiliation questions - 3","50","Affilitation_Gratitude3",50
"332","fnw3740u","Affiliation questions - 3","50","Affilitation_Sympathy3",50
"333","fnw3740u","Affiliation questions - 3","50","Affilitation_Generosity3",50
"334","fnw3740u","Affiliation questions - 3","0","Affilitation_Distrust3",0
"335","fnw3740u","Affiliation questions - 3","60","Affilitation_Acceptance3",60
"336","fnw3740u","Affiliation questions - 3","0","Affilitation_Hostility3",0
"337","awnaa38f","Affiliation questions - 3","80","Affilitation_Acceptance3",80
"338","awnaa38f","Affiliation questions - 3","13","Affilitation_Avoidance3",13
"339","awnaa38f","Affiliation questions - 3","63","Affilitation_Generosity3",63
"340","awnaa38f","Affiliation questions - 3","6","Affilitation_Distrust3",6
"341","awnaa38f","Affiliation questions - 3","70","Affilitation_Sympathy3",70
"342","awnaa38f","Affiliation questions - 3","72","Affilitation_Gratitude3",72
"343","awnaa38f","Affiliation questions - 3","5","Affilitation_Hostility3",5
"344","9fuapkwo","Affiliation questions - 3","50","Affilitation_Gratitude3",50
"345","9fuapkwo","Affiliation questions - 3","4","Affilitation_Hostility3",4
"346","9fuapkwo","Affiliation questions - 3","4","Affilitation_Avoidance3",4
"347","9fuapkwo","Affiliation questions - 3","50","Affilitation_Acceptance3",50
"348","9fuapkwo","Affiliation questions - 3","50","Affilitation_Generosity3",50
"349","9fuapkwo","Affiliation questions - 3","50","Affilitation_Sympathy3",50
"350","9fuapkwo","Affiliation questions - 3","3","Affilitation_Distrust3",3
"351","x9hun3az","Affiliation questions - 3","60","Affilitation_Sympathy3",60
"352","x9hun3az","Affiliation questions - 3","34","Affilitation_Distrust3",34
"353","x9hun3az","Affiliation questions - 3","11","Affilitation_Hostility3",11
"354","x9hun3az","Affiliation questions - 3","54","Affilitation_Acceptance3",54
"355","x9hun3az","Affiliation questions - 3","56","Affilitation_Generosity3",56
"356","x9hun3az","Affiliation questions - 3","59","Affilitation_Gratitude3",59
"357","x9hun3az","Affiliation questions - 3","20","Affilitation_Avoidance3",20
"358","fhonwjzj","Affiliation questions - 3","40","Affilitation_Acceptance3",40
"359","fhonwjzj","Affiliation questions - 3","40","Affilitation_Gratitude3",40
"360","fhonwjzj","Affiliation questions - 3","60","Affilitation_Hostility3",60
"361","fhonwjzj","Affiliation questions - 3","60","Affilitation_Avoidance3",60
"362","fhonwjzj","Affiliation questions - 3","50","Affilitation_Generosity3",50
